,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_epochs,params_n_iterations,params_segmenter_metric,state
46,46,0.45738948241430866,2023-11-14 21:45:49.821463,2023-11-14 21:55:50.752714,0 days 00:10:00.931251,0.00017648600187898216,2,10,f1,COMPLETE
47,47,0.5324617785392364,2023-11-14 21:55:50.760436,2023-11-14 22:01:05.348497,0 days 00:05:14.588061,2.6134415736224588e-05,2,5,balanced_accuracy,COMPLETE
48,48,0.4250728417560593,2023-11-14 22:01:05.356660,2023-11-14 22:10:09.131526,0 days 00:09:03.774866,2.5949865842463433e-05,3,6,balanced_accuracy,COMPLETE
49,49,0.5294826325610834,2023-11-14 22:10:09.136341,2023-11-14 22:15:24.917554,0 days 00:05:15.781213,1.0017447926914678e-05,2,5,balanced_accuracy,COMPLETE
50,50,0.5084300009821361,2023-11-14 22:15:24.921258,2023-11-14 22:22:33.200175,0 days 00:07:08.278917,1.519511957474091e-05,2,7,balanced_accuracy,COMPLETE
51,51,0.470141973220424,2023-11-14 22:22:33.203970,2023-11-14 22:27:46.822917,0 days 00:05:13.618947,1.0230715961353873e-05,2,5,balanced_accuracy,COMPLETE
52,52,0.4453157567358163,2023-11-14 22:27:46.827373,2023-11-14 22:36:49.260106,0 days 00:09:02.432733,2.87589336043483e-05,2,9,balanced_accuracy,COMPLETE
53,53,0.4833287864072372,2023-11-14 22:36:49.264794,2023-11-14 22:43:58.371582,0 days 00:07:09.106788,1.0080074225247468e-05,2,7,balanced_accuracy,COMPLETE
54,54,0.48175300369937907,2023-11-14 22:43:58.375886,2023-11-14 22:53:58.214633,0 days 00:09:59.838747,2.0469059725506198e-05,2,10,balanced_accuracy,COMPLETE
55,55,0.5516199788295121,2023-11-14 22:53:58.218420,2023-11-14 23:03:58.211470,0 days 00:09:59.993050,1.378650303918656e-05,4,5,balanced_accuracy,COMPLETE
56,56,0.47312111919857697,2023-11-14 23:03:58.214963,2023-11-14 23:19:48.254754,0 days 00:15:50.039791,3.1741776816995874e-05,4,8,balanced_accuracy,COMPLETE
57,57,0.46794417102262187,2023-11-14 23:19:48.258405,2023-11-14 23:31:46.058924,0 days 00:11:57.800519,5.584781412714044e-05,4,6,accuracy,COMPLETE
58,58,0.4922793194888528,2023-11-14 23:31:46.067058,2023-11-15 00:58:15.416651,0 days 01:26:29.349593,1.44598632123053e-05,5,36,balanced_accuracy,COMPLETE
59,59,0.5494221766317099,2023-11-15 00:58:15.422470,2023-11-15 01:21:43.480638,0 days 00:23:28.058168,2.4429290992896774e-05,4,12,balanced_accuracy,COMPLETE
60,60,0.48850573458319235,2023-11-15 01:21:43.485745,2023-11-15 01:47:02.415542,0 days 00:25:18.929797,2.3600023110718777e-05,4,13,balanced_accuracy,COMPLETE
61,61,0.4916572999989087,2023-11-15 01:47:02.425246,2023-11-15 02:04:40.569017,0 days 00:17:38.143771,3.212603160654342e-05,4,9,balanced_accuracy,COMPLETE
62,62,0.470141973220424,2023-11-15 02:04:40.573069,2023-11-15 02:20:53.522089,0 days 00:16:12.949020,1.4304744241369972e-05,3,11,balanced_accuracy,COMPLETE
63,63,0.46934753429291665,2023-11-15 02:20:53.527846,2023-11-15 02:36:37.389546,0 days 00:15:43.861700,6.253514238894818e-05,4,8,balanced_accuracy,COMPLETE
64,64,0.4949398168861922,2023-11-15 02:36:37.395004,2023-11-15 02:44:15.023183,0 days 00:07:37.628179,2.2269238571077542e-05,3,5,balanced_accuracy,COMPLETE
65,65,0.5133035782489606,2023-11-15 02:44:15.027142,2023-11-15 03:15:44.065350,0 days 00:31:29.038208,3.662438879162118e-05,5,13,accuracy,COMPLETE
66,66,0.45017405633095803,2023-11-15 03:15:44.069850,2023-11-15 03:37:11.059421,0 days 00:21:26.989571,5.234170157107159e-05,4,11,balanced_accuracy,COMPLETE
67,67,0.5151827318659492,2023-11-15 03:37:11.063186,2023-11-15 03:46:13.963519,0 days 00:09:02.900333,1.3400009296723761e-05,3,6,balanced_accuracy,COMPLETE
68,68,0.48630793238539016,2023-11-15 03:46:13.972426,2023-11-15 04:03:23.868046,0 days 00:17:09.895620,2.2943194556552455e-05,5,7,balanced_accuracy,COMPLETE
69,69,0.519419011971147,2023-11-15 04:03:23.876380,2023-11-15 04:18:12.378923,0 days 00:14:48.502543,8.988664071768656e-05,3,10,f1,COMPLETE
70,70,0.505466132675666,2023-11-15 04:18:12.384133,2023-11-15 04:33:56.534619,0 days 00:15:44.150486,1.9954218174976806e-05,2,16,accuracy,COMPLETE
71,71,0.47500027281556567,2023-11-15 04:33:56.539805,2023-11-15 04:39:11.081367,0 days 00:05:14.541562,1.1895671350978282e-05,2,5,balanced_accuracy,COMPLETE
72,72,0.48927180069186027,2023-11-15 04:39:11.086134,2023-11-15 04:47:17.749342,0 days 00:08:06.663208,1.6881416936894288e-05,2,8,balanced_accuracy,COMPLETE
73,73,0.5340375612470944,2023-11-15 04:47:17.757351,2023-11-15 04:53:30.314502,0 days 00:06:12.557151,2.805476975846176e-05,2,6,balanced_accuracy,COMPLETE
